source_id,title,url,source_type,publisher_class,source_date,tier_research,fulltext_status,chat_covered,needs_recheck,dedupe_key,promotion_target,handbook_delta,notes_short
src_arxiv_2604_06240_20260405,"arXiv:2604.06240 – The Art of Building Verifiers for Computer Use Agents",https://arxiv.org/abs/2604.06240,preprint,arxiv,2026-04-05,b,page-reviewed,yes,yes,arxiv:2604.06240,handbook_candidate,high,"Verifier/harness paper for computer-use agents; rubric design, process-vs-outcome signals, controllable failures, screenshot-context handling."
src_googleapis_mcp_toolbox_2026,"GitHub – googleapis/mcp-toolbox",https://github.com/googleapis/mcp-toolbox,github-repo,vendor-open-source-repo,2026-??-??,c,readme-reviewed,yes,yes,github:googleapis/mcp-toolbox,template_candidate,medium_high,"Database-focused MCP server and tool framework; strong adapter/package pattern via sources, tools, toolsets, prompts and skill generation."
src_openai_codex_use_cases_2026,"OpenAI Codex Docs – Use cases",https://developers.openai.com/codex/use-cases,vendor-doc,vendor-docs,2026-??-??,c,page-reviewed,yes,yes,url:developers.openai.com/codex/use-cases,blackboard_only,medium,"Official discovery and pattern surface for Codex task types and team contexts; weak as norm or architecture source."
src_arxiv_2604_08224_20260409,"arXiv:2604.08224 – Externalization in LLM Agents",https://arxiv.org/abs/2604.08224,preprint,arxiv,2026-04-09,b,page-reviewed,yes,yes,arxiv:2604.08224,handbook_candidate,very_high,"Unified review over memory, skills, protocols and harness engineering; treat as literature anchor plus handbook candidate."
src_heise_thoughtworks_warns_2026,"heise – Thoughtworks warnt: KI-Code waechst schneller als das Verstaendnis dafuer",https://www.heise.de/news/Thoughtworks-warnt-KI-Code-waechst-schneller-als-das-Verstaendnis-dafuer-11258863.html,news-article,tech-news,2026-??-??,c,page-reviewed,yes,yes,url:heise.de/news/Thoughtworks-warnt-KI-Code-waechst-schneller-als-das-Verstaendnis-dafuer-11258863.html,blackboard_only,medium,"Secondary surface for codebase cognitive debt, harnesses, zero-trust claims and DORA references; do not promote over primary sources."
src_thoughtworks_codebase_cognitive_debt_2026,"Thoughtworks Radar – Codebase cognitive debt",https://www.thoughtworks.com/radar/techniques/codebase-cognitive-debt,radar-entry,vendor-engineering-blog,2026-??-??,b,page-reviewed,yes,no,url:thoughtworks.com/radar/techniques/codebase-cognitive-debt,handbook_candidate,very_high,"Primary articulation of codebase cognitive debt under AI-accelerated change; strong ASWE anchor for understanding bottlenecks and structural safeguards."
src_martinfowler_harness_engineering_2026,"Martin Fowler – Harness engineering",https://martinfowler.com/articles/exploring-gen-ai/harness-engineering.html,blog,vendor-engineering-blog,2026-??-??,b,fulltext-reviewed,yes,no,url:martinfowler.com/articles/exploring-gen-ai/harness-engineering.html,handbook_candidate,very_high,"Feedforward and feedback harness model with AGENTS.md, skills, structural tests, review and mutation-testing loops; strong operational harness source."
src_dora_metrics_2026,"DORA – DORA metrics",https://dora.dev/guides/dora-metrics/,guide,org-docs,2026-??-??,c,page-reviewed,yes,no,url:dora.dev/guides/dora-metrics,handbook_candidate,medium,"Current DORA metrics page; useful measurement background for delivery and instability, but not an agentic runtime source."
src_heise_true_bottleneck_2026,"heise Blog – Der wahre Engpass: Warum schnelleres Coden Projekte nicht beschleunigt",https://www.heise.de/blog/Der-wahre-Engpass-Warum-schnelleres-Coden-Projekte-nicht-beschleunigt-11162879.html,blog,tech-news-blog,2026-??-??,c,page-reviewed,yes,yes,url:heise.de/blog/Der-wahre-Engpass-Warum-schnelleres-Coden-Projekte-nicht-beschleunigt-11162879.html,blackboard_only,medium,"Secondary argument surface for the understanding bottleneck; useful context, weaker than Thoughtworks primary formulation."
src_openai_next_evolution_agents_sdk_2026,"OpenAI – The next evolution of the Agents SDK",https://openai.com/index/the-next-evolution-of-the-agents-sdk/,blog,vendor-engineering-blog,2026-??-??,b,page-reviewed,yes,no,url:openai.com/index/the-next-evolution-of-the-agents-sdk,handbook_candidate,very_high,"Official runtime and product anchor for model-native harness plus native sandbox execution, with memory, MCP, skills, AGENTS.md, shell and patch tooling."
